פסוק,,,,,תוכן,תיוג,מילה נרדפת,משפט בימינו,דובר,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Deuteronomy,פרק יב,פסוק כב,*אך* כאשר יאכל את הצבי ואת האיל כן תאכלנו הטמא והטהור יחדו יאכלנו,אכן,בדיוק,בדיוק כמו ש,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Deuteronomy,פרק יד,פסוק ז,*אך* את זה לא תאכלו ממעלי הגרה וממפריסי הפרסה השסועה את הגמל ואת הארנבת ואת השפן כי מעלה גרה המה ופרסה לא הפריסו טמאים הם לכם,רק,בלבד,תנאי,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Deuteronomy,פרק טז,פסוק טו,שבעת ימים תחג ליהוה אלהיך במקום אשר יבחר יהוה כי יברכך יהוה אלהיך בכל תבואתך ובכל מעשה ידיך והיית *אך* שמח,אכן,כן,הגברה,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Deuteronomy,פרק יח,פסוק כ,*אך* הנביא אשר יזיד לדבר דבר בשמי את אשר לא צויתיו לדבר ואשר ידבר בשם אלהים אחרים ומת הנביא ההוא,רק,בלבד,אזהרה,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Deuteronomy,פרק כח,פסוק כט,והיית ממשש בצהרים כאשר ימשש העור באפלה ולא תצליח את דרכיך והיית *אך* עשוק וגזול כל הימים ואין מושיע,אכן,כן,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Exodus,פרק י,פסוק יז,ועתה שא נא חטאתי *אך* הפעם והעתירו ליהוה אלהיכם ויסר מעלי רק את המות הזה,רק,בלבד,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Exodus,פרק יב,פסוק טו,שבעת ימים מצות תאכלו *אך* ביום הראשון תשביתו שאר מבתיכם כי  כל אכל חמץ ונכרתה הנפש ההוא מישראל מיום הראשן עד יום השבעי,אבל,אלא ש,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Exodus,פרק יב,פסוק טז,וביום הראשון מקרא קדש וביום השביעי מקרא קדש יהיה לכם כל מלאכה לא יעשה בהם *אך* אשר יאכל לכל נפש הוא לבדו יעשה לכם,רק,בלבד,רק מה שתצליחו לאכול,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Exodus,פרק כא,פסוק כא,*אך* אם יום או יומים יעמד לא יקם כי כספו הוא,אבל,אלא ש,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Exodus,פרק לא,פסוק יג,ואתה דבר אל בני ישראל לאמר *אך* את שבתתי תשמרו כי אות הוא ביני וביניכם לדרתיכם לדעת כי אני יהוה מקדשכם,רק,בלבד,תנאי,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,genesis,פרק ז,פסוק כג,וימח את כל היקום  אשר  על פני האדמה מאדם עד בהמה עד רמש ועד עוף השמים וימחו מן הארץ וישאר *אך *נח ואשר אתו בתבה,רק,בלבד,,,,,,,,,,,,,,,,,,,,,,
