w-1,w+1,תיוג
0,1,אכן
0,3,רק
6,7,אכן
0,8,רק
6,10,אכן
13,14,רק
2,17,אבל
20,1,רק
0,21,אבל
23,3,רק
26,27,רק
0,28,אבל
0,3,רק
32,14,אבל
35,36,אבל
23,21,אכן
23,40,אכן
43,44,רק
6,47,זה עתה
49,50,אכן
0,51,רק
0,51,רק
53,52,רק
23,54,אבל
0,3,רק
0,3,רק
0,55,רק
0,57,רק
0,59,רק
0,61,רק
0,63,רק
0,64,רק
0,3,אבל
67,68,אכן
0,69,רק
71,57,רק
48,73,רק
0,63,רק
3,3,רק
0,77,אבל
0,3,אכן
81,82,אבל
41,84,אבל
86,87,זה עתה
0,88,אכן
89,90,רק
93,94,אבל
96,97,רק
0,36,רק
0,36,אבל
23,76,רק
0,36,אבל
0,36,אבל
0,36,אבל
103,104,אכן
0,105,אבל
108,109,אכן
111,76,רק
113,114,רק
0,37,זה עתה
0,17,רק
51,36,אבל
76,19,רק
23,117,אכן
0,118,אבל
3,120,אבל
45,96,אבל
51,70,רק
0,123,רק
23,125,אכן
48,127,רק
41,6,רק
128,129,אבל
132,41,רק
23,133,אבל
135,136,אבל
0,57,רק
140,141,רק
0,142,רק
144,145,רק
148,145,רק
23,76,רק
150,151,רק
152,20,רק
0,69,רק
23,154,אכן
155,85,אבל
0,97,אבל
23,159,אבל
135,116,אבל
23,4,רק
69,160,רק
57,160,אבל
23,133,אכן
0,97,אבל
0,5,אבל
0,44,רק
145,3,אבל
110,19,רק
5,69,רק
0,44,זה עתה
170,171,אבל
0,173,רק
0,21,רק
23,176,רק
32,14,רק
180,120,זה עתה
170,182,רק
12,14,רק
23,184,זה עתה
0,76,אבל
186,187,רק
23,123,רק
0,188,אבל
0,118,אבל
0,88,אבל
0,190,רק
5,3,אבל
191,9,אבל
0,192,רק
0,28,רק
0,193,אבל
0,195,רק
97,198,רק
36,177,אבל
0,36,אבל
0,23,אכן
0,94,אבל
204,4,זה עתה
0,20,רק
206,181,רק
209,210,רק
99,210,רק
0,211,רק
214,215,רק
216,210,רק
217,210,רק
0,181,רק
219,220,רק
125,64,אכן
0,223,רק
97,224,רק
226,222,רק
0,135,אבל
227,228,אכן
135,25,אכן
0,57,רק
0,177,רק
0,231,רק
0,135,רק
0,177,רק
0,222,אכן
235,236,אבל
0,135,אכן
240,181,רק
0,241,אבל
0,243,אכן
4,246,אבל
0,248,אכן
23,250,אכן
0,206,רק
