w-2,w-1,w+1,w+2,תיוג
0,0,1,2,אכן
0,0,3,4,רק
5,6,7,0,אכן
0,0,8,1,רק
9,6,10,11,אכן
12,13,14,15,רק
16,2,17,18,אבל
19,20,1,2,רק
0,0,21,17,אבל
22,23,3,24,רק
25,26,27,1,רק
0,0,28,29,אבל
0,0,3,30,רק
31,32,14,33,אבל
34,35,36,37,אבל
25,23,21,38,אכן
39,23,40,41,אכן
42,43,44,45,רק
46,6,47,47,זה עתה
48,49,50,28,אכן
0,0,51,52,רק
0,0,51,52,רק
48,53,52,48,רק
3,23,54,54,אבל
0,0,3,4,רק
0,0,3,4,רק
0,0,55,56,רק
0,0,57,58,רק
0,0,59,60,רק
0,0,61,62,רק
0,0,63,1,רק
0,0,64,65,רק
0,0,3,66,אבל
23,67,68,32,אכן
0,0,69,70,רק
64,71,57,72,רק
6,48,73,73,רק
0,0,63,74,רק
75,3,3,76,רק
0,0,77,78,אבל
0,0,3,79,אכן
80,81,82,83,אבל
6,41,84,66,אבל
85,86,87,43,זה עתה
0,0,88,70,אכן
23,89,90,91,רק
92,93,94,6,אבל
95,96,97,12,רק
0,0,36,19,רק
0,0,36,98,אבל
0,23,76,99,רק
0,0,36,100,אבל
0,0,36,101,אבל
0,0,36,85,אבל
102,103,104,3,אכן
0,0,105,106,אבל
107,108,109,110,אכן
3,111,76,112,רק
85,113,114,0,רק
0,0,37,103,זה עתה
0,0,17,36,רק
115,51,36,64,אבל
19,76,19,48,רק
116,23,117,22,אכן
0,0,118,36,אבל
119,3,120,69,אבל
44,45,96,121,אבל
122,51,70,98,רק
0,0,123,3,רק
124,23,125,69,אכן
126,48,127,0,רק
48,41,6,48,רק
97,128,129,130,אבל
131,132,41,0,רק
130,23,133,131,אבל
134,135,136,137,אבל
0,0,57,138,רק
139,140,141,0,רק
0,0,142,136,רק
143,144,145,146,רק
147,148,145,149,רק
0,23,76,99,רק
36,150,151,13,רק
57,152,20,153,רק
0,0,69,48,רק
0,23,154,116,אכן
96,155,85,156,אבל
0,0,97,157,אבל
158,23,159,53,אבל
160,135,116,161,אבל
158,23,4,162,רק
163,69,160,70,רק
164,57,160,32,אבל
25,23,133,165,אכן
0,0,97,97,אבל
0,0,5,166,אבל
0,0,44,12,רק
167,145,3,36,אבל
43,110,19,168,רק
169,5,69,0,רק
0,0,44,76,זה עתה
125,170,171,172,אבל
0,0,173,6,רק
0,0,21,174,רק
175,23,176,177,רק
20,32,14,178,רק
179,180,120,120,זה עתה
181,170,182,12,רק
183,12,14,4,רק
96,23,184,184,זה עתה
0,0,76,185,אבל
96,186,187,19,רק
0,23,123,3,רק
0,0,188,43,אבל
0,0,118,36,אבל
0,0,88,189,אבל
0,0,190,48,רק
40,5,3,29,אבל
48,191,9,57,אבל
0,0,192,70,רק
0,0,28,105,רק
0,0,193,194,אבל
0,0,195,196,רק
197,97,198,199,רק
200,36,177,201,אבל
0,0,36,202,אבל
0,0,23,203,אכן
0,0,94,36,אבל
23,204,4,17,זה עתה
0,0,20,85,רק
205,206,181,207,רק
208,209,210,0,רק
76,99,210,0,רק
0,0,211,212,רק
213,214,215,64,רק
64,216,210,0,רק
190,217,210,0,רק
0,0,181,218,רק
70,219,220,0,רק
221,125,64,222,אכן
0,0,223,75,רק
36,97,224,0,רק
225,226,222,64,רק
0,0,135,73,אבל
23,227,228,206,אכן
229,135,25,0,אכן
0,0,57,135,רק
0,0,177,230,רק
0,0,231,232,רק
0,0,135,233,רק
0,0,177,230,רק
0,0,222,43,אכן
234,235,236,237,אבל
0,0,135,238,אכן
239,240,181,22,רק
0,0,241,242,אבל
0,0,243,244,אכן
245,4,246,247,אבל
0,0,248,249,אכן
0,23,250,251,אכן
0,0,206,252,רק
