w-1,w+1,תיוג
0,1,אכן
0,3,רק
6,7,אכן
0,8,רק
6,11,אכן
10,13,רק
2,14,אבל
16,9,רק
0,1,אבל
2,3,רק
6,18,רק
0,10,אבל
0,3,רק
6,13,אבל
21,22,אבל
2,1,אכן
6,12,אכן
25,2,רק
6,27,זה עתה
18,20,אכן
0,29,רק
0,29,רק
21,2,רק
6,27,אבל
0,3,רק
0,3,רק
0,24,רק
0,28,רק
0,14,רק
0,14,רק
0,8,רק
0,8,רק
0,3,אבל
31,17,אכן
0,17,רק
10,28,רק
30,27,רק
0,10,רק
28,32,רק
0,23,אבל
0,3,אכן
6,5,אבל
20,5,אבל
5,20,זה עתה
0,24,אכן
18,2,רק
20,20,אבל
1,2,רק
0,22,רק
0,22,אבל
2,20,רק
0,22,אבל
0,22,אבל
0,22,אבל
5,2,אכן
0,16,אבל
2,24,אכן
10,10,רק
5,2,רק
0,24,זה עתה
0,14,רק
29,22,אבל
23,2,רק
2,20,אכן
0,24,אבל
3,2,אבל
5,1,אבל
4,22,רק
0,2,רק
6,20,אכן
30,24,רק
5,2,רק
10,18,אבל
24,5,רק
2,23,אבל
23,24,אבל
0,28,רק
2,7,רק
0,7,רק
2,40,רק
23,40,רק
2,24,רק
41,41,רק
2,30,רק
0,34,רק
6,20,אכן
2,2,אבל
0,2,אבל
2,7,אבל
10,21,אבל
2,42,רק
43,5,רק
28,10,אבל
6,10,אכן
0,27,אבל
0,24,אבל
0,2,רק
19,3,אבל
18,11,רק
5,34,רק
0,2,זה עתה
23,2,אבל
0,7,רק
0,1,רק
6,11,רק
6,13,רק
15,27,זה עתה
5,41,רק
12,13,רק
2,27,זה עתה
0,8,אבל
10,46,רק
2,2,רק
0,18,אבל
0,24,אבל
0,24,אבל
0,2,רק
20,3,אבל
2,10,אבל
0,10,רק
0,24,רק
0,49,אבל
0,42,רק
6,2,רק
22,21,אבל
0,22,אבל
0,2,אכן
0,10,אבל
2,42,זה עתה
0,28,רק
38,7,רק
5,20,רק
24,20,רק
0,10,רק
38,20,רק
50,20,רק
51,20,רק
0,38,רק
2,2,רק
52,20,אכן
0,5,רק
2,54,רק
46,20,רק
0,24,אבל
24,24,אכן
24,5,אכן
0,28,רק
0,21,רק
0,23,רק
0,5,רק
0,21,רק
0,20,אכן
5,50,אבל
0,24,אכן
34,7,רק
0,13,אבל
0,56,אכן
57,10,אבל
0,7,אכן
6,24,אכן
0,38,רק
