w-2,w-1,w+1,w+2,תיוג
0,0,1,2,אכן
0,0,3,4,רק
5,6,7,0,אכן
0,0,8,9,רק
10,6,11,11,אכן
12,10,13,6,רק
10,2,14,15,אבל
2,16,9,2,רק
0,0,1,14,אבל
17,2,3,10,רק
5,6,18,1,רק
0,0,10,10,אבל
0,0,3,10,רק
17,6,13,19,אבל
20,21,22,20,אבל
23,2,1,21,אכן
17,6,12,20,אכן
24,25,2,5,רק
26,6,27,2,זה עתה
28,18,20,20,אכן
0,0,29,2,רק
0,0,29,2,רק
30,21,2,28,רק
28,6,27,2,אבל
0,0,3,4,רק
0,0,3,4,רק
0,0,24,24,רק
0,0,28,5,רק
0,0,14,14,רק
0,0,14,14,רק
0,0,8,9,רק
0,0,8,8,רק
0,0,3,10,אבל
6,31,17,2,אכן
0,0,17,22,רק
10,10,28,5,רק
2,30,27,2,רק
0,0,10,10,רק
2,28,32,8,רק
0,0,23,2,אבל
0,0,3,10,אכן
5,6,5,5,אבל
2,20,5,5,אבל
6,5,20,8,זה עתה
0,0,24,22,אכן
6,18,2,2,רק
18,20,20,2,אבל
5,1,2,12,רק
0,0,22,2,רק
0,0,22,2,אבל
0,2,20,20,רק
0,0,22,2,אבל
0,0,22,2,אבל
0,0,22,2,אבל
18,5,2,3,אכן
0,0,16,23,אבל
14,2,24,18,אכן
28,10,10,10,רק
2,5,2,0,רק
0,0,24,24,זה עתה
0,0,14,22,רק
16,29,22,14,אבל
2,23,2,28,רק
33,2,20,34,אכן
0,0,24,22,אבל
35,3,2,18,אבל
2,5,1,27,אבל
10,4,22,2,רק
0,0,2,3,רק
26,6,20,34,אכן
36,30,24,0,רק
28,5,2,28,רק
2,10,18,18,אבל
2,24,5,0,רק
37,2,23,2,אבל
23,23,24,38,אבל
0,0,28,5,רק
39,2,7,0,רק
0,0,7,24,רק
23,2,40,2,רק
6,23,40,2,רק
0,2,24,24,רק
22,41,41,23,רק
28,2,30,24,רק
0,0,34,28,רק
0,6,20,21,אכן
1,2,2,24,אבל
0,0,2,10,אבל
33,2,7,21,אבל
10,10,21,19,אבל
33,2,42,20,רק
41,43,5,22,רק
2,28,10,2,אבל
5,6,10,2,אכן
0,0,27,2,אבל
0,0,24,18,אבל
0,0,2,12,רק
41,19,3,22,אבל
24,18,11,44,רק
5,5,34,0,רק
0,0,2,10,זה עתה
23,23,2,2,אבל
0,0,7,2,רק
0,0,1,7,רק
11,6,11,21,רק
28,6,13,2,רק
14,15,27,2,זה עתה
44,5,41,12,רק
6,12,13,45,רק
1,2,27,11,זה עתה
0,0,8,8,אבל
1,10,46,2,רק
0,2,2,3,רק
0,0,18,24,אבל
0,0,24,22,אבל
0,0,24,18,אבל
0,0,2,28,רק
47,20,3,10,אבל
28,2,10,16,אבל
0,0,10,22,רק
0,0,24,48,רק
0,0,49,41,אבל
0,0,42,20,רק
2,6,2,28,רק
5,22,21,2,אבל
0,0,22,5,אבל
0,0,2,5,אכן
0,0,10,22,אבל
2,2,42,20,זה עתה
0,0,28,2,רק
24,38,7,24,רק
6,5,20,0,רק
36,24,20,0,רק
0,0,10,2,רק
24,38,20,36,רק
36,50,20,0,רק
11,51,20,0,רק
0,0,38,24,רק
22,2,2,0,רק
20,52,20,20,אכן
0,0,5,2,רק
53,2,54,0,רק
23,46,20,24,רק
0,0,24,2,אבל
6,24,24,7,אכן
55,24,5,0,אכן
0,0,28,5,רק
0,0,21,20,רק
0,0,23,2,רק
0,0,5,2,רק
0,0,21,20,רק
0,0,20,24,אכן
10,5,50,2,אבל
0,0,24,2,אכן
20,34,7,17,רק
0,0,13,2,אבל
0,0,56,2,אכן
6,57,10,2,אבל
0,0,7,51,אכן
0,6,24,41,אכן
0,0,38,2,רק
