w-1,w+1,תיוג
0,1,אכן
0,3,רק
2,6,אכן
0,5,רק
2,2,אכן
5,5,רק
2,5,אבל
3,1,רק
0,1,אבל
2,3,רק
2,8,רק
0,5,אבל
0,3,רק
2,5,אבל
10,11,אבל
2,1,אכן
2,7,אכן
5,2,רק
2,2,זה עתה
8,5,אכן
0,4,רק
0,4,רק
10,2,רק
2,2,אבל
0,3,רק
0,3,רק
0,5,רק
0,3,רק
0,5,רק
0,5,רק
0,5,רק
0,5,רק
0,3,אבל
9,8,אכן
0,8,רק
5,3,רק
3,2,רק
0,5,רק
3,3,רק
0,5,אבל
0,3,אכן
2,5,אבל
5,5,אבל
5,5,זה עתה
0,5,אכן
8,2,רק
5,5,אבל
1,2,רק
0,11,רק
0,11,אבל
2,5,רק
0,11,אבל
0,11,אבל
0,11,אבל
5,2,אכן
0,3,אבל
2,5,אכן
5,5,רק
5,2,רק
0,5,זה עתה
0,5,רק
4,11,אבל
5,2,רק
2,5,אכן
0,5,אבל
3,2,אבל
5,1,אבל
4,11,רק
0,2,רק
2,5,אכן
3,5,רק
5,2,רק
5,8,אבל
5,5,רק
2,5,אבל
5,5,אבל
0,3,רק
2,6,רק
0,6,רק
2,9,רק
5,9,רק
2,5,רק
2,2,רק
2,3,רק
0,8,רק
2,5,אכן
2,2,אבל
0,2,אבל
2,6,אבל
5,10,אבל
2,4,רק
8,5,רק
3,5,אבל
2,5,אכן
0,2,אבל
0,5,אבל
0,2,רק
9,3,אבל
8,2,רק
5,8,רק
0,2,זה עתה
5,2,אבל
0,6,רק
0,1,רק
2,2,רק
2,5,רק
6,2,זה עתה
5,2,רק
7,5,רק
2,2,זה עתה
0,5,אבל
5,2,רק
2,2,רק
0,8,אבל
0,5,אבל
0,5,אבל
0,2,רק
5,3,אבל
2,5,אבל
0,5,רק
0,5,רק
0,9,אבל
0,4,רק
2,2,רק
11,10,אבל
0,11,אבל
0,2,אכן
0,5,אבל
2,4,זה עתה
0,3,רק
6,6,רק
5,5,רק
5,5,רק
0,5,רק
6,5,רק
2,5,רק
6,5,רק
0,6,רק
2,2,רק
5,5,אכן
0,5,רק
2,2,רק
2,5,רק
0,5,אבל
5,5,אכן
5,5,אכן
0,3,רק
0,10,רק
0,5,רק
0,5,רק
0,10,רק
0,5,אכן
5,2,אבל
0,5,אכן
8,6,רק
0,5,אבל
0,6,אכן
4,5,אבל
0,6,אכן
2,5,אכן
0,6,רק
