w-2,w-1,w+1,w+2,תיוג
0,0,1,2,אכן
0,0,3,4,רק
5,2,6,0,אכן
0,0,5,1,רק
5,2,2,2,אכן
7,5,5,2,רק
5,2,5,6,אבל
2,3,1,2,רק
0,0,1,5,אבל
8,2,3,5,רק
5,2,8,1,רק
0,0,5,5,אבל
0,0,3,5,רק
8,2,5,9,אבל
5,10,11,5,אבל
5,2,1,10,אכן
8,2,7,5,אכן
5,5,2,5,רק
8,2,2,2,זה עתה
3,8,5,5,אכן
0,0,4,2,רק
0,0,4,2,רק
3,10,2,3,רק
3,2,2,2,אבל
0,0,3,4,רק
0,0,3,4,רק
0,0,5,5,רק
0,0,3,5,רק
0,0,5,5,רק
0,0,5,5,רק
0,0,5,1,רק
0,0,5,5,רק
0,0,3,5,אבל
2,9,8,2,אכן
0,0,8,11,רק
5,5,3,5,רק
2,3,2,2,רק
0,0,5,5,רק
2,3,3,5,רק
0,0,5,2,אבל
0,0,3,5,אכן
5,2,5,5,אבל
2,5,5,5,אבל
2,5,5,5,זה עתה
0,0,5,11,אכן
2,8,2,2,רק
8,5,5,2,אבל
5,1,2,7,רק
0,0,11,2,רק
0,0,11,2,אבל
0,2,5,5,רק
0,0,11,2,אבל
0,0,11,2,אבל
0,0,11,2,אבל
8,5,2,3,אכן
0,0,3,5,אבל
5,2,5,8,אכן
3,5,5,5,רק
2,5,2,0,רק
0,0,5,5,זה עתה
0,0,5,11,רק
3,4,11,5,אבל
2,5,2,3,רק
10,2,5,8,אכן
0,0,5,11,אבל
2,3,2,8,אבל
2,5,1,2,אבל
5,4,11,2,רק
0,0,2,3,רק
8,2,5,8,אכן
5,3,5,0,רק
3,5,2,3,רק
2,5,8,8,אבל
2,5,5,0,רק
8,2,5,2,אבל
5,5,5,6,אבל
0,0,3,5,רק
8,2,6,0,רק
0,0,6,5,רק
5,2,9,2,רק
2,5,9,2,רק
0,2,5,5,רק
11,2,2,5,רק
3,2,3,5,רק
0,0,8,3,רק
0,2,5,10,אכן
1,2,2,5,אבל
0,0,2,5,אבל
10,2,6,10,אבל
5,5,10,9,אבל
10,2,4,5,רק
2,8,5,11,רק
2,3,5,2,אבל
5,2,5,2,אכן
0,0,2,2,אבל
0,0,5,8,אבל
0,0,2,7,רק
2,9,3,11,אבל
5,8,2,6,רק
5,5,8,0,רק
0,0,2,5,זה עתה
5,5,2,2,אבל
0,0,6,2,רק
0,0,1,6,רק
2,2,2,10,רק
3,2,5,2,רק
5,6,2,2,זה עתה
6,5,2,7,רק
2,7,5,4,רק
1,2,2,2,זה עתה
0,0,5,5,אבל
1,5,2,2,רק
0,2,2,3,רק
0,0,8,5,אבל
0,0,5,11,אבל
0,0,5,8,אבל
0,0,2,3,רק
7,5,3,5,אבל
3,2,5,3,אבל
0,0,5,11,רק
0,0,5,3,רק
0,0,9,2,אבל
0,0,4,5,רק
2,2,2,3,רק
5,11,10,2,אבל
0,0,11,5,אבל
0,0,2,5,אכן
0,0,5,11,אבל
2,2,4,5,זה עתה
0,0,3,2,רק
5,6,6,5,רק
2,5,5,0,רק
5,5,5,0,רק
0,0,5,2,רק
5,6,5,5,רק
5,2,5,0,רק
2,6,5,0,רק
0,0,6,5,רק
11,2,2,0,רק
5,5,5,5,אכן
0,0,5,2,רק
11,2,2,0,רק
5,2,5,5,רק
0,0,5,2,אבל
2,5,5,6,אכן
5,5,5,0,אכן
0,0,3,5,רק
0,0,10,5,רק
0,0,5,2,רק
0,0,5,2,רק
0,0,10,5,רק
0,0,5,5,אכן
5,5,2,2,אבל
0,0,5,2,אכן
5,8,6,8,רק
0,0,5,2,אבל
0,0,6,2,אכן
2,4,5,2,אבל
0,0,6,6,אכן
0,2,5,2,אכן
0,0,6,2,רק
