w-1,w+1,תיוג
0,1,אכן
0,3,רק
6,7,אכן
0,8,רק
6,11,אכן
14,15,רק
2,18,אבל
21,9,רק
0,22,אבל
24,3,רק
27,28,רק
0,29,אבל
0,3,רק
33,15,אבל
36,37,אבל
24,22,אכן
42,43,אכן
46,47,רק
6,50,זה עתה
53,54,אכן
0,56,רק
0,56,רק
59,57,רק
42,61,אבל
0,3,רק
0,3,רק
0,63,רק
0,65,רק
0,67,רק
0,69,רק
0,71,רק
0,72,רק
0,3,אבל
75,76,אכן
0,78,רק
81,65,רק
58,84,רק
0,86,רק
60,89,רק
0,91,אבל
0,3,אכן
95,96,אבל
44,98,אבל
101,102,זה עתה
0,104,אכן
105,106,רק
109,110,אבל
112,113,רק
0,37,רק
0,37,אבל
24,115,רק
0,37,אבל
0,37,אבל
0,37,אבל
121,122,אכן
0,123,אבל
126,127,אכן
129,130,רק
132,133,רק
0,134,זה עתה
0,18,רק
56,37,אבל
138,20,רק
24,140,אכן
0,142,אבל
3,144,אבל
48,112,אבל
148,79,רק
0,149,רק
42,151,אכן
58,154,רק
155,83,רק
156,157,אבל
160,155,רק
24,162,אבל
164,165,אבל
0,65,רק
169,170,רק
0,171,רק
173,174,רק
177,174,רק
24,179,רק
181,182,רק
184,185,רק
0,152,רק
42,187,אכן
189,119,אבל
0,113,אבל
24,193,אבל
195,188,אבל
24,197,רק
200,201,רק
65,194,אבל
42,203,אכן
0,205,אבל
0,206,אבל
0,47,רק
209,3,אבל
128,211,רק
5,152,רק
0,47,זה עתה
215,216,אבל
0,218,רק
0,22,רק
42,221,רק
33,15,רק
226,227,זה עתה
229,230,רק
13,15,רק
24,233,זה עתה
0,90,אבל
236,237,רק
24,149,רק
0,238,אבל
0,142,אבל
0,104,אבל
0,240,רק
242,3,אבל
243,10,אבל
0,245,רק
0,246,רק
0,248,אבל
0,250,רק
253,254,רק
37,222,אבל
0,37,אבל
0,24,אכן
0,260,אבל
261,197,זה עתה
0,223,רק
264,265,רק
268,269,רק
180,269,רק
0,271,רק
274,275,רק
277,269,רק
279,269,רק
0,280,רק
282,283,רק
285,286,אכן
0,288,רק
113,290,רק
292,287,רק
0,294,אבל
295,296,אכן
294,26,אכן
0,65,רק
0,222,רק
0,301,רק
0,299,רק
0,222,רק
0,287,אכן
305,306,אבל
0,294,אכן
310,265,רק
0,311,אבל
0,313,אכן
316,317,אבל
0,319,אכן
42,321,אכן
0,264,רק
