w-1,w+1,תיוג
0,1,אכן
0,3,רק
6,7,אכן
0,8,רק
6,11,אכן
14,15,רק
18,19,אבל
22,9,רק
0,23,אבל
26,3,רק
29,30,רק
0,32,אבל
0,3,רק
36,15,אבל
39,40,אבל
26,23,אכן
44,45,אכן
48,49,רק
52,53,זה עתה
55,56,אכן
0,58,רק
0,58,רק
62,63,רק
66,67,אבל
0,3,רק
0,3,רק
0,68,רק
0,70,רק
0,72,רק
0,74,רק
0,76,רק
0,77,רק
0,3,אבל
81,82,אכן
0,84,רק
85,70,רק
88,89,רק
0,76,רק
92,3,רק
0,94,אבל
0,3,אכן
98,99,אבל
102,103,אבל
105,106,זה עתה
0,108,אכן
109,110,רק
113,114,אבל
117,118,רק
0,40,רק
0,40,אבל
120,83,רק
0,40,אבל
0,40,אבל
0,40,אבל
126,127,אכן
0,128,אבל
131,41,אכן
134,83,רק
137,138,רק
0,41,זה עתה
0,140,רק
142,40,אבל
144,143,רק
147,131,אכן
0,148,אבל
150,151,אבל
153,117,אבל
156,70,רק
0,158,רק
44,160,אכן
54,162,רק
163,164,רק
166,167,אבל
170,171,רק
172,173,אבל
176,177,אבל
0,70,רק
181,182,רק
0,183,רק
185,186,רק
189,186,רק
191,83,רק
192,193,רק
196,197,רק
0,84,רק
44,198,אכן
200,124,אבל
0,202,אבל
191,205,אבל
207,199,אבל
191,4,רק
152,211,רק
195,213,אבל
80,216,אכן
0,165,אבל
0,219,אבל
0,49,רק
186,133,אבל
132,223,רק
226,152,רק
0,49,זה עתה
228,229,אבל
0,231,רק
0,23,רק
80,234,רק
36,15,רק
238,239,זה עתה
242,243,רק
13,15,רק
147,246,זה עתה
0,247,אבל
249,250,רק
191,251,רק
0,253,אבל
0,148,אבל
0,255,אבל
0,257,רק
259,3,אבל
261,262,אבל
0,263,רק
0,264,רק
0,266,אבל
0,268,רק
271,272,רק
40,39,אבל
0,40,אבל
0,120,אכן
0,114,אבל
278,4,זה עתה
0,235,רק
282,283,רק
286,287,רק
121,287,רק
0,289,רק
292,293,רק
295,287,רק
297,287,רק
0,283,רק
299,300,רק
302,77,אכן
0,304,רק
165,307,רק
309,303,רק
0,176,אבל
311,312,אכן
176,315,אכן
0,70,רק
0,39,רק
0,317,רק
0,319,רק
0,39,רק
0,303,אכן
322,323,אבל
0,176,אכן
327,283,רק
0,329,אבל
0,331,אכן
334,335,אבל
0,337,אכן
66,339,אכן
0,282,רק
