w-2,w-1,w+1,w+2,תיוג
0,0,1,2,אכן
0,0,3,4,רק
5,6,7,0,אכן
0,0,8,9,רק
10,6,11,12,אכן
13,14,15,16,רק
17,18,19,20,אבל
21,22,9,2,רק
0,0,23,24,אבל
25,26,3,27,רק
28,29,30,31,רק
0,0,32,33,אבל
0,0,3,34,רק
35,36,15,37,אבל
38,39,40,41,אבל
28,26,23,42,אכן
43,44,45,46,אכן
47,48,49,50,רק
51,52,53,53,זה עתה
54,55,56,57,אכן
0,0,58,59,רק
0,0,58,60,רק
61,62,63,64,רק
65,66,67,67,אבל
0,0,3,4,רק
0,0,3,4,רק
0,0,68,69,רק
0,0,70,71,רק
0,0,72,73,רק
0,0,74,75,רק
0,0,76,9,רק
0,0,77,78,רק
0,0,3,79,אבל
80,81,82,83,אכן
0,0,84,70,רק
77,85,70,86,רק
87,88,89,90,רק
0,0,76,91,רק
88,92,3,93,רק
0,0,94,95,אבל
0,0,3,96,אכן
97,98,99,100,אבל
101,102,103,79,אבל
104,105,106,107,זה עתה
0,0,108,70,אכן
44,109,110,111,רק
112,113,114,115,אבל
116,117,118,13,רק
0,0,40,21,רק
0,0,40,119,אבל
0,120,83,121,רק
0,0,40,122,אבל
0,0,40,123,אבל
0,0,40,124,אבל
125,126,127,3,אכן
0,0,128,129,אבל
130,131,41,132,אכן
133,134,83,135,רק
136,137,138,0,רק
0,0,41,139,זה עתה
0,0,140,40,רק
141,142,40,77,אבל
143,144,143,145,רק
146,147,131,25,אכן
0,0,148,40,אבל
149,150,151,152,אבל
49,153,117,154,אבל
155,156,70,157,רק
0,0,158,3,רק
159,44,160,152,אכן
161,54,162,0,רק
88,163,164,145,רק
165,166,167,168,אבל
169,170,171,0,רק
168,172,173,174,אבל
175,176,177,178,אבל
0,0,70,179,רק
180,181,182,0,רק
0,0,183,177,רק
184,185,186,187,רק
188,189,186,190,רק
0,191,83,121,רק
40,192,193,194,רק
195,196,197,70,רק
0,0,84,145,רק
0,44,198,199,אכן
117,200,124,201,אבל
0,0,202,203,אבל
204,191,205,62,אבל
206,207,199,208,אבל
204,191,4,209,רק
210,152,211,70,רק
212,195,213,214,אבל
215,80,216,217,אכן
0,0,165,218,אבל
0,0,219,220,אבל
0,0,49,13,רק
221,186,133,40,אבל
222,132,223,224,רק
225,226,152,0,רק
0,0,49,83,זה עתה
227,228,229,230,אבל
0,0,231,87,רק
0,0,23,232,רק
233,80,234,39,רק
235,36,15,236,רק
237,238,239,240,זה עתה
241,242,243,13,רק
244,13,15,245,רק
117,147,246,246,זה עתה
0,0,247,248,אבל
117,249,250,21,רק
0,191,251,252,רק
0,0,253,254,אבל
0,0,148,40,אבל
0,0,255,256,אבל
0,0,257,88,רק
258,259,3,260,אבל
54,261,262,70,אבל
0,0,263,70,רק
0,0,264,265,רק
0,0,266,267,אבל
0,0,268,269,רק
270,271,272,273,רק
274,40,39,275,אבל
0,0,40,276,אבל
0,0,120,277,אכן
0,0,114,40,אבל
147,278,4,279,זה עתה
0,0,235,280,רק
281,282,283,284,רק
285,286,287,0,רק
288,121,287,0,רק
0,0,289,290,רק
291,292,293,294,רק
294,295,287,0,רק
296,297,287,0,רק
0,0,283,298,רק
70,299,300,0,רק
301,302,77,303,אכן
0,0,304,305,רק
306,165,307,0,רק
308,309,303,77,רק
0,0,176,310,אבל
44,311,312,313,אכן
314,176,315,0,אכן
0,0,70,176,רק
0,0,39,316,רק
0,0,317,318,רק
0,0,319,320,רק
0,0,39,316,רק
0,0,303,48,אכן
321,322,323,324,אבל
0,0,176,325,אכן
326,327,283,328,רק
0,0,329,330,אבל
0,0,331,332,אכן
333,334,335,336,אבל
0,0,337,338,אכן
0,66,339,340,אכן
0,0,282,341,רק
