w-1,w+1,0
0,1,אכן
4,5,אכן
0,6,רק
4,8,אכן
11,12,רק
15,1,רק
0,16,אבל
19,20,רק
0,21,רק
24,25,אבל
27,16,אכן
27,30,אכן
33,34,אכן
0,36,רק
38,37,רק
27,39,אבל
0,40,רק
0,42,רק
0,21,אבל
0,45,רק
32,47,רק
0,48,אבל
31,50,אבל
52,53,זה עתה
0,55,אכן
57,58,אבל
60,61,רק
0,25,רק
0,25,אבל
0,25,אבל
63,64,רק
66,67,רק
64,14,רק
69,60,אבל
0,71,רק
27,73,אכן
32,75,רק
77,78,אבל
81,82,רק
0,83,רק
85,86,רק
89,86,רק
91,15,רק
93,51,אבל
0,61,אבל
27,97,אבל
45,99,רק
27,100,אכן
0,61,אבל
86,21,אבל
103,14,רק
27,106,רק
10,12,רק
110,111,רק
27,71,רק
0,112,אבל
0,113,רק
114,7,אבל
0,115,אבל
0,117,רק
61,120,רק
0,25,אבל
0,27,אכן
0,15,רק
125,126,רק
129,130,רק
131,130,רק
0,132,רק
134,135,רק
73,42,אכן
0,138,רק
0,77,אבל
140,141,אכן
0,107,רק
0,77,רק
145,146,אבל
0,77,אכן
0,149,אבל
109,152,אבל
0,154,אכן
