w-2,w-1,w+1,w+2,0
0,0,1,2,אכן
3,4,5,0,אכן
0,0,6,1,רק
7,4,8,9,אכן
10,11,12,13,רק
14,15,1,2,רק
0,0,16,17,אבל
18,19,20,1,רק
0,0,21,22,רק
23,24,25,26,אבל
18,27,16,28,אכן
29,27,30,31,אכן
32,33,34,35,אכן
0,0,36,37,רק
32,38,37,32,רק
21,27,39,39,אבל
0,0,40,41,רק
0,0,42,43,רק
0,0,21,44,אבל
0,0,45,46,רק
4,32,47,47,רק
0,0,48,49,אבל
4,31,50,44,אבל
51,52,53,54,זה עתה
0,0,55,46,אכן
56,57,58,4,אבל
59,60,61,10,רק
0,0,25,14,רק
0,0,25,62,אבל
0,0,25,51,אבל
21,63,64,65,רק
51,66,67,0,רק
14,64,14,32,רק
68,69,60,70,אבל
0,0,71,21,רק
72,27,73,45,אכן
74,32,75,0,רק
76,77,78,79,אבל
80,81,82,0,רק
0,0,83,78,רק
84,85,86,87,רק
88,89,86,90,רק
40,91,15,92,רק
60,93,51,94,אבל
0,0,61,95,אבל
96,27,97,38,אבל
98,45,99,46,רק
18,27,100,101,אכן
0,0,61,61,אבל
102,86,21,25,אבל
54,103,14,104,רק
105,27,106,107,רק
108,10,12,109,רק
60,110,111,14,רק
0,27,71,21,רק
0,0,112,25,אבל
0,0,113,32,רק
32,114,7,40,אבל
0,0,115,116,אבל
0,0,117,118,רק
119,61,120,121,רק
0,0,25,122,אבל
0,0,27,123,אכן
0,0,15,51,רק
124,125,126,127,רק
128,129,130,0,רק
64,131,130,0,רק
0,0,132,133,רק
46,134,135,0,רק
136,73,42,137,אכן
0,0,138,139,רק
0,0,77,47,אבל
27,140,141,125,אכן
0,0,107,142,רק
0,0,77,143,רק
144,145,146,147,אבל
0,0,77,148,אכן
0,0,149,150,אבל
151,109,152,153,אבל
0,0,154,155,אכן
