w-1,w+1,0
0,1,אכן
4,5,אכן
0,6,רק
4,9,אכן
8,11,רק
12,7,רק
0,1,אבל
4,14,רק
0,15,רק
17,18,אבל
2,1,אכן
4,10,אכן
14,16,אכן
0,22,רק
17,2,רק
4,24,אבל
0,21,רק
0,6,רק
0,15,אבל
0,20,רק
23,24,רק
0,19,אבל
16,3,אבל
3,16,זה עתה
0,25,אכן
16,16,אבל
1,2,רק
0,18,רק
0,18,אבל
0,18,אבל
8,8,רק
3,2,רק
19,2,רק
3,1,אבל
0,2,רק
4,16,אכן
23,25,רק
19,25,אבל
2,5,רק
0,5,רק
2,31,רק
19,31,רק
2,23,רק
2,2,אבל
0,2,אבל
2,5,אבל
34,3,רק
4,8,אכן
0,24,אבל
35,15,אבל
14,9,רק
4,9,רק
10,11,רק
8,38,רק
2,2,רק
0,25,אבל
0,2,רק
2,8,אבל
0,39,אבל
0,40,רק
4,2,רק
0,18,אבל
0,2,אכן
0,21,רק
29,5,רק
3,16,רק
25,16,רק
0,8,רק
2,2,רק
41,16,אכן
0,3,רק
0,25,אבל
25,25,אכן
0,17,רק
0,3,רק
3,42,אבל
0,25,אכן
0,11,אבל
43,8,אבל
0,5,אכן
