w-2,w-1,w+1,w+2,0
0,0,1,2,אכן
3,4,5,0,אכן
0,0,6,7,רק
8,4,9,9,אכן
10,8,11,4,רק
2,12,7,2,רק
0,0,1,13,אבל
3,4,14,1,רק
0,0,15,8,רק
16,17,18,16,אבל
19,2,1,17,אכן
20,4,10,16,אכן
21,14,16,16,אכן
0,0,22,2,רק
23,17,2,21,רק
21,4,24,2,אבל
0,0,21,3,רק
0,0,6,6,רק
0,0,15,8,אבל
0,0,20,18,רק
2,23,24,2,רק
0,0,19,2,אבל
2,16,3,3,אבל
4,3,16,6,זה עתה
0,0,25,18,אכן
14,16,16,2,אבל
3,1,2,10,רק
0,0,18,2,רק
0,0,18,2,אבל
0,0,18,2,אבל
21,8,8,8,רק
2,3,2,0,רק
2,19,2,21,רק
2,3,1,24,אבל
0,0,2,15,רק
26,4,16,27,אכן
28,23,25,0,רק
19,19,25,29,אבל
30,2,5,0,רק
0,0,5,25,רק
19,2,31,2,רק
4,19,31,2,רק
21,2,23,25,רק
1,2,2,25,אבל
0,0,2,8,אבל
32,2,5,17,אבל
33,34,3,18,רק
3,4,8,2,אכן
0,0,24,2,אבל
33,35,15,18,אבל
25,14,9,36,רק
9,4,9,17,רק
4,10,11,37,רק
1,8,38,2,רק
0,2,2,15,רק
0,0,25,18,אבל
0,0,2,21,רק
21,2,8,12,אבל
0,0,39,33,אבל
0,0,40,16,רק
2,4,2,21,רק
0,0,18,3,אבל
0,0,2,3,אכן
0,0,21,2,רק
25,29,5,25,רק
4,3,16,0,רק
28,25,16,0,רק
0,0,8,2,רק
18,2,2,0,רק
16,41,16,16,אכן
0,0,3,2,רק
0,0,25,2,אבל
4,25,25,5,אכן
0,0,17,16,רק
0,0,3,2,רק
8,3,42,2,אבל
0,0,25,2,אכן
0,0,11,2,אבל
4,43,8,2,אבל
0,0,5,44,אכן
