w-1,w+1,0
0,1,אכן
2,4,אכן
0,3,רק
2,2,אכן
3,3,רק
6,1,רק
0,1,אבל
2,7,רק
0,6,רק
8,9,אבל
2,1,אכן
2,5,אכן
7,3,אכן
0,10,רק
8,2,רק
2,2,אבל
0,6,רק
0,3,רק
0,6,אבל
0,7,רק
6,2,רק
0,3,אבל
3,3,אבל
3,3,זה עתה
0,3,אכן
3,3,אבל
1,2,רק
0,9,רק
0,9,אבל
0,9,אבל
3,3,רק
3,2,רק
3,2,רק
3,1,אבל
0,2,רק
2,3,אכן
6,3,רק
3,3,אבל
2,4,רק
0,4,רק
2,11,רק
3,11,רק
2,6,רק
2,2,אבל
0,2,אבל
2,4,אבל
7,3,רק
2,3,אכן
0,2,אבל
11,6,אבל
7,2,רק
2,2,רק
5,3,רק
3,2,רק
2,2,רק
0,3,אבל
0,2,רק
2,3,אבל
0,11,אבל
0,10,רק
2,2,רק
0,9,אבל
0,2,אכן
0,6,רק
4,4,רק
3,3,רק
3,3,רק
0,3,רק
2,2,רק
3,3,אכן
0,3,רק
0,3,אבל
3,3,אכן
0,8,רק
0,3,רק
3,2,אבל
0,3,אכן
0,3,אבל
10,3,אבל
0,4,אכן
