w-2,w-1,w+1,w+2,0
0,0,1,2,אכן
3,2,4,0,אכן
0,0,3,1,רק
3,2,2,2,אכן
5,3,3,2,רק
2,6,1,2,רק
0,0,1,3,אבל
3,2,7,1,רק
0,0,6,3,רק
3,8,9,3,אבל
3,2,1,8,אכן
7,2,5,3,אכן
6,7,3,3,אכן
0,0,10,2,רק
6,8,2,6,רק
6,2,2,2,אבל
0,0,6,3,רק
0,0,3,3,רק
0,0,6,3,אבל
0,0,7,9,רק
2,6,2,2,רק
0,0,3,2,אבל
2,3,3,3,אבל
2,3,3,3,זה עתה
0,0,3,9,אכן
7,3,3,2,אבל
3,1,2,5,רק
0,0,9,2,רק
0,0,9,2,אבל
0,0,9,2,אבל
6,3,3,3,רק
2,3,2,0,רק
2,3,2,6,רק
2,3,1,2,אבל
0,0,2,6,רק
7,2,3,7,אכן
3,6,3,0,רק
3,3,3,4,אבל
7,2,4,0,רק
0,0,4,3,רק
3,2,11,2,רק
2,3,11,2,רק
6,2,6,3,רק
1,2,2,3,אבל
0,0,2,3,אבל
8,2,4,8,אבל
2,7,3,9,רק
3,2,3,2,אכן
0,0,2,2,אבל
2,11,6,9,אבל
3,7,2,4,רק
2,2,2,8,רק
2,5,3,10,רק
1,3,2,2,רק
0,2,2,6,רק
0,0,3,9,אבל
0,0,2,6,רק
6,2,3,6,אבל
0,0,11,2,אבל
0,0,10,3,רק
2,2,2,6,רק
0,0,9,3,אבל
0,0,2,3,אכן
0,0,6,2,רק
3,4,4,3,רק
2,3,3,0,רק
3,3,3,0,רק
0,0,3,2,רק
9,2,2,0,רק
3,3,3,3,אכן
0,0,3,2,רק
0,0,3,2,אבל
2,3,3,4,אכן
0,0,8,3,רק
0,0,3,2,רק
3,3,2,2,אבל
0,0,3,2,אכן
0,0,3,2,אבל
2,10,3,2,אבל
0,0,4,4,אכן
