w-1,w+1,0
0,1,אכן
4,5,אכן
0,6,רק
4,9,אכן
12,13,רק
16,7,רק
0,17,אבל
20,21,רק
0,22,רק
25,26,אבל
29,17,אכן
32,33,אכן
36,37,אכן
0,39,רק
42,40,רק
32,44,אבל
0,46,רק
0,48,רק
0,22,אבל
0,51,רק
41,54,רק
0,56,אבל
34,58,אבל
61,62,זה עתה
0,64,אכן
66,67,אבל
69,70,רק
0,26,רק
0,26,אבל
0,26,אבל
73,74,רק
76,77,רק
78,15,רק
80,69,אבל
0,82,רק
32,84,אכן
41,87,רק
89,90,אבל
93,94,רק
0,95,רק
97,98,רק
101,98,רק
103,104,רק
106,72,אבל
0,70,אבל
29,110,אבל
112,113,רק
32,114,אכן
0,116,אבל
118,22,אבל
120,121,רק
32,124,רק
11,13,רק
128,129,רק
29,82,רק
0,130,אבל
0,131,רק
132,8,אבל
0,134,אבל
0,136,רק
139,140,רק
0,26,אבל
0,29,אכן
0,144,רק
146,147,רק
150,151,רק
153,151,רק
0,154,רק
156,157,רק
159,160,אכן
0,162,רק
0,164,אבל
165,166,אכן
0,125,רק
0,169,רק
172,173,אבל
0,164,אכן
0,176,אבל
179,180,אבל
0,182,אכן
