w-1,w+1,0
0,1,אכן
1,4,אכן
0,5,רק
1,4,אכן
7,9,רק
10,6,רק
0,1,אבל
1,12,רק
0,7,רק
12,13,אבל
2,1,אכן
1,8,אכן
12,4,אכן
0,10,רק
12,2,רק
1,9,אבל
0,3,רק
0,5,רק
0,7,אבל
0,3,רק
4,9,רק
0,10,אבל
4,3,אבל
3,4,זה עתה
0,12,אכן
4,4,אבל
1,2,רק
0,13,רק
0,13,אבל
0,13,אבל
7,7,רק
3,2,רק
10,2,רק
3,1,אבל
0,2,רק
1,4,אכן
4,12,רק
10,12,אבל
2,4,רק
0,4,רק
2,14,רק
10,14,רק
2,4,רק
2,2,אבל
0,2,אבל
2,4,אבל
16,3,רק
1,7,אכן
0,9,אבל
9,7,אבל
12,4,רק
1,4,רק
8,9,רק
7,7,רק
2,2,רק
0,12,אבל
0,2,רק
2,7,אבל
0,11,אבל
0,12,רק
1,2,רק
0,13,אבל
0,2,אכן
0,3,רק
12,4,רק
3,4,רק
12,4,רק
0,7,רק
2,2,רק
14,4,אכן
0,3,רק
0,12,אבל
12,12,אכן
0,12,רק
0,3,רק
3,12,אבל
0,12,אכן
0,9,אבל
3,7,אבל
0,4,אכן
