w-2,w-1,w+1,w+2,0
0,0,1,2,אכן
3,1,4,0,אכן
0,0,5,6,רק
7,1,4,4,אכן
8,7,9,1,רק
2,10,6,2,רק
0,0,1,11,אבל
3,1,12,1,רק
0,0,7,7,רק
4,12,13,4,אבל
10,2,1,12,אכן
3,1,8,4,אכן
3,12,4,4,אכן
0,0,10,2,רק
4,12,2,3,רק
3,1,9,2,אבל
0,0,3,3,רק
0,0,5,5,רק
0,0,7,7,אבל
0,0,3,13,רק
2,4,9,2,רק
0,0,10,2,אבל
2,4,3,3,אבל
1,3,4,5,זה עתה
0,0,12,13,אכן
12,4,4,2,אבל
3,1,2,8,רק
0,0,13,2,רק
0,0,13,2,אבל
0,0,13,2,אבל
3,7,7,7,רק
2,3,2,0,רק
2,10,2,3,רק
2,3,1,9,אבל
0,0,2,7,רק
7,1,4,4,אכן
1,4,12,0,רק
10,10,12,12,אבל
10,2,4,0,רק
0,0,4,12,רק
10,2,14,2,רק
1,10,14,2,רק
3,2,4,12,רק
1,2,2,12,אבל
0,0,2,7,אבל
1,2,4,12,אבל
15,16,3,13,רק
3,1,7,2,אכן
0,0,9,2,אבל
15,9,7,13,אבל
12,12,4,6,רק
4,1,4,12,רק
1,8,9,9,רק
1,7,7,2,רק
0,2,2,7,רק
0,0,12,13,אבל
0,0,2,3,רק
3,2,7,10,אבל
0,0,11,15,אבל
0,0,12,4,רק
2,1,2,3,רק
0,0,13,3,אבל
0,0,2,3,אכן
0,0,3,2,רק
12,12,4,12,רק
1,3,4,0,רק
1,12,4,0,רק
0,0,7,2,רק
13,2,2,0,רק
4,14,4,4,אכן
0,0,3,2,רק
0,0,12,2,אבל
1,12,12,4,אכן
0,0,12,4,רק
0,0,3,2,רק
7,3,12,2,אבל
0,0,12,2,אכן
0,0,9,2,אבל
1,3,7,2,אבל
0,0,4,3,אכן
