w-1,w+1,0
0,1,אכן
4,5,אכן
0,6,רק
4,9,אכן
12,13,רק
16,7,רק
0,17,אבל
20,21,רק
0,23,רק
26,27,אבל
29,17,אכן
32,33,אכן
36,37,אכן
0,39,רק
42,43,רק
46,47,אבל
0,48,רק
0,50,רק
0,23,אבל
0,53,רק
55,56,רק
0,58,אבל
61,62,אבל
64,65,זה עתה
0,67,אכן
69,70,אבל
73,74,רק
0,27,רק
0,27,אבל
0,27,אבל
78,79,רק
82,83,רק
85,84,רק
88,73,אבל
0,90,רק
32,92,אכן
35,95,רק
97,98,אבל
101,102,רק
0,103,רק
105,106,רק
109,106,רק
112,113,רק
114,76,אבל
0,116,אבל
119,120,אבל
93,122,רק
124,125,אכן
0,127,אבל
106,77,אבל
131,132,רק
124,135,רק
11,13,רק
138,139,רק
119,140,רק
0,142,אבל
0,143,רק
144,145,אבל
0,146,אבל
0,148,רק
151,152,רק
0,27,אבל
0,155,אכן
0,157,רק
160,161,רק
164,165,רק
167,165,רק
0,168,רק
170,171,רק
173,50,אכן
0,175,רק
0,97,אבל
178,179,אכן
0,26,רק
0,182,רק
185,186,אבל
0,97,אכן
0,189,אבל
192,193,אבל
0,195,אכן
