w-1,w+1,0
0,1,אכן
0,3,רק
6,7,אכן
0,8,רק
6,10,אכן
13,14,רק
2,17,אבל
20,1,רק
0,21,אבל
23,3,רק
26,27,רק
0,28,אבל
0,3,רק
32,14,אבל
35,36,אבל
23,21,אכן
23,40,אכן
43,44,רק
6,47,זה עתה
49,50,אכן
0,51,רק
0,51,רק
53,52,רק
23,54,אבל
0,3,רק
0,3,רק
0,55,רק
0,57,רק
0,59,רק
0,61,רק
0,63,רק
0,64,רק
0,3,אבל
67,68,אכן
0,69,רק
71,57,רק
48,73,רק
0,63,רק
3,3,רק
0,77,אבל
0,3,אכן
81,82,אבל
41,84,אבל
86,87,זה עתה
0,88,אכן
90,91,אבל
0,36,אבל
0,36,אבל
0,36,אבל
0,36,אבל
96,97,אכן
0,98,אבל
101,102,אכן
0,37,זה עתה
51,36,אבל
23,106,אכן
0,107,אבל
3,109,אבל
45,110,אבל
23,113,אכן
115,116,אבל
23,118,אבל
121,122,אבל
23,124,אכן
125,85,אבל
23,118,אכן
0,44,זה עתה
129,109,זה עתה
23,130,זה עתה
0,23,אכן
132,4,זה עתה
113,64,אכן
135,136,אכן
121,25,אכן
0,134,אכן
0,121,אכן
0,140,אכן
0,142,אכן
23,144,אכן
