w-1,w+1,0
0,1,אכן
0,3,רק
6,7,אכן
0,8,רק
6,11,אכן
10,13,רק
2,14,אבל
16,9,רק
0,1,אבל
2,3,רק
6,18,רק
0,10,אבל
0,3,רק
6,13,אבל
21,22,אבל
2,1,אכן
6,12,אכן
25,2,רק
6,27,זה עתה
18,20,אכן
0,29,רק
0,29,רק
21,2,רק
6,27,אבל
0,3,רק
0,3,רק
0,24,רק
0,28,רק
0,14,רק
0,14,רק
0,8,רק
0,8,רק
0,3,אבל
31,17,אכן
0,17,רק
10,28,רק
30,27,רק
0,10,רק
28,32,רק
0,23,אבל
0,3,אכן
6,5,אבל
20,5,אבל
5,20,זה עתה
0,24,אכן
20,20,אבל
0,22,אבל
0,22,אבל
0,22,אבל
0,22,אבל
5,2,אכן
0,16,אבל
2,24,אכן
0,24,זה עתה
29,22,אבל
2,20,אכן
0,24,אבל
3,2,אבל
5,1,אבל
6,20,אכן
10,18,אבל
2,23,אבל
23,24,אבל
6,20,אכן
2,2,אבל
6,10,אכן
0,2,זה עתה
15,27,זה עתה
2,27,זה עתה
0,2,אכן
2,38,זה עתה
39,20,אכן
24,24,אכן
24,5,אכן
0,20,אכן
0,24,אכן
0,41,אכן
0,7,אכן
6,24,אכן
