w-1,w+1,0
0,1,אכן
0,3,רק
2,6,אכן
0,5,רק
2,2,אכן
5,5,רק
2,5,אבל
3,1,רק
0,1,אבל
2,3,רק
2,8,רק
0,5,אבל
0,3,רק
2,5,אבל
10,11,אבל
2,1,אכן
2,7,אכן
5,2,רק
2,2,זה עתה
8,5,אכן
0,4,רק
0,4,רק
10,2,רק
2,2,אבל
0,3,רק
0,3,רק
0,5,רק
0,3,רק
0,5,רק
0,5,רק
0,5,רק
0,5,רק
0,3,אבל
9,8,אכן
0,8,רק
5,3,רק
3,2,רק
0,5,רק
3,3,רק
0,5,אבל
0,3,אכן
2,5,אבל
5,5,אבל
5,5,זה עתה
0,5,אכן
5,5,אבל
0,11,אבל
0,11,אבל
0,11,אבל
0,11,אבל
5,2,אכן
0,3,אבל
2,5,אכן
0,5,זה עתה
4,11,אבל
2,5,אכן
0,5,אבל
3,2,אבל
5,1,אבל
2,5,אכן
5,8,אבל
2,5,אבל
5,5,אבל
2,5,אכן
2,2,אבל
2,5,אכן
0,2,זה עתה
6,2,זה עתה
2,2,זה עתה
0,2,אכן
2,4,זה עתה
5,5,אכן
5,5,אכן
5,5,אכן
0,5,אכן
0,5,אכן
0,6,אכן
0,6,אכן
2,5,אכן
