w-2,w-1,w+1,w+2,0
0,0,1,2,אכן
0,0,3,4,רק
5,2,6,0,אכן
0,0,5,1,רק
5,2,2,2,אכן
7,5,5,2,רק
5,2,5,6,אבל
2,3,1,2,רק
0,0,1,5,אבל
8,2,3,5,רק
5,2,8,1,רק
0,0,5,5,אבל
0,0,3,5,רק
8,2,5,9,אבל
5,10,11,5,אבל
5,2,1,10,אכן
8,2,7,5,אכן
5,5,2,5,רק
8,2,2,2,זה עתה
3,8,5,5,אכן
0,0,4,2,רק
0,0,4,2,רק
3,10,2,3,רק
3,2,2,2,אבל
0,0,3,4,רק
0,0,3,4,רק
0,0,5,5,רק
0,0,3,5,רק
0,0,5,5,רק
0,0,5,5,רק
0,0,5,1,רק
0,0,5,5,רק
0,0,3,5,אבל
2,9,8,2,אכן
0,0,8,11,רק
5,5,3,5,רק
2,3,2,2,רק
0,0,5,5,רק
2,3,3,5,רק
0,0,5,2,אבל
0,0,3,5,אכן
5,2,5,5,אבל
2,5,5,5,אבל
2,5,5,5,זה עתה
0,0,5,11,אכן
8,5,5,2,אבל
0,0,11,2,אבל
0,0,11,2,אבל
0,0,11,2,אבל
0,0,11,2,אבל
8,5,2,3,אכן
0,0,3,5,אבל
5,2,5,8,אכן
0,0,5,5,זה עתה
3,4,11,5,אבל
10,2,5,8,אכן
0,0,5,11,אבל
2,3,2,8,אבל
2,5,1,2,אבל
8,2,5,8,אכן
2,5,8,8,אבל
8,2,5,2,אבל
5,5,5,6,אבל
0,2,5,10,אכן
1,2,2,5,אבל
5,2,5,2,אכן
0,0,2,5,זה עתה
5,6,2,2,זה עתה
1,2,2,2,זה עתה
0,0,2,5,אכן
2,2,4,5,זה עתה
5,5,5,5,אכן
2,5,5,6,אכן
5,5,5,0,אכן
0,0,5,5,אכן
0,0,5,2,אכן
0,0,6,2,אכן
0,0,6,6,אכן
0,2,5,2,אכן
