w-1,w+1,0
0,1,אכן
0,3,רק
6,7,אכן
0,8,רק
6,11,אכן
14,15,רק
2,18,אבל
21,9,רק
0,22,אבל
24,3,רק
27,28,רק
0,29,אבל
0,3,רק
33,15,אבל
36,37,אבל
24,22,אכן
42,43,אכן
46,47,רק
6,50,זה עתה
53,54,אכן
0,56,רק
0,56,רק
59,57,רק
42,61,אבל
0,3,רק
0,3,רק
0,63,רק
0,65,רק
0,67,רק
0,69,רק
0,71,רק
0,72,רק
0,3,אבל
75,76,אכן
0,78,רק
81,65,רק
58,84,רק
0,86,רק
60,89,רק
0,91,אבל
0,3,אכן
95,96,אבל
44,98,אבל
101,102,זה עתה
0,104,אכן
106,107,אבל
0,37,אבל
0,37,אבל
0,37,אבל
0,37,אבל
113,114,אכן
0,115,אבל
118,119,אכן
0,121,זה עתה
56,37,אבל
24,126,אכן
0,128,אבל
3,130,אבל
48,132,אבל
42,135,אכן
138,139,אבל
24,142,אבל
145,146,אבל
42,148,אכן
150,111,אבל
42,152,אכן
0,47,זה עתה
156,157,זה עתה
24,158,זה עתה
0,24,אכן
161,162,זה עתה
165,166,אכן
168,169,אכן
172,26,אכן
0,167,אכן
0,172,אכן
0,175,אכן
0,177,אכן
42,179,אכן
