w-1,w+1,0
0,1,אכן
0,3,רק
1,5,אכן
0,6,רק
1,5,אכן
3,9,רק
2,10,אבל
11,7,רק
0,1,אבל
2,3,רק
1,12,רק
0,3,אבל
0,3,רק
1,9,אבל
12,13,אבל
2,1,אכן
1,8,אכן
14,2,רק
1,9,זה עתה
12,5,אכן
0,11,רק
0,11,רק
12,2,רק
1,9,אבל
0,3,רק
0,3,רק
0,12,רק
0,4,רק
0,10,רק
0,10,רק
0,6,רק
0,6,רק
0,3,אבל
15,4,אכן
0,4,רק
3,4,רק
5,9,רק
0,3,רק
4,6,רק
0,11,אבל
0,3,אכן
1,4,אבל
5,4,אבל
4,5,זה עתה
0,12,אכן
5,5,אבל
0,13,אבל
0,13,אבל
0,13,אבל
0,13,אבל
4,2,אכן
0,11,אבל
2,12,אכן
0,12,זה עתה
11,13,אבל
2,5,אכן
0,12,אבל
3,2,אבל
4,1,אבל
1,5,אכן
3,12,אבל
2,11,אבל
11,12,אבל
1,5,אכן
2,2,אבל
1,3,אכן
0,2,זה עתה
10,9,זה עתה
2,9,זה עתה
0,2,אכן
2,12,זה עתה
17,5,אכן
12,12,אכן
12,4,אכן
0,5,אכן
0,12,אכן
0,11,אכן
0,5,אכן
1,12,אכן
