w-2,w-1,w+1,w+2,0
0,0,1,2,אכן
0,0,3,3,רק
4,1,5,0,אכן
0,0,6,7,רק
3,1,5,5,אכן
8,3,9,1,רק
3,2,10,10,אבל
2,11,7,2,רק
0,0,1,10,אבל
4,2,3,3,רק
4,1,12,1,רק
0,0,3,3,אבל
0,0,3,3,רק
4,1,9,9,אבל
5,12,13,5,אבל
11,2,1,12,אכן
4,1,8,5,אכן
12,14,2,4,רק
3,1,9,2,זה עתה
4,12,5,5,אכן
0,0,11,2,רק
0,0,11,2,רק
5,12,2,4,רק
4,1,9,2,אבל
0,0,3,3,רק
0,0,3,3,רק
0,0,12,12,רק
0,0,4,4,רק
0,0,10,10,רק
0,0,10,10,רק
0,0,6,7,רק
0,0,6,6,רק
0,0,3,3,אבל
1,15,4,2,אכן
0,0,4,13,רק
3,3,4,4,רק
2,5,9,2,רק
0,0,3,3,רק
2,4,6,6,רק
0,0,11,2,אבל
0,0,3,3,אכן
4,1,4,4,אבל
2,5,4,4,אבל
1,4,5,6,זה עתה
0,0,12,13,אכן
12,5,5,2,אבל
0,0,13,2,אבל
0,0,13,2,אבל
0,0,13,2,אבל
0,0,13,2,אבל
12,4,2,3,אכן
0,0,11,11,אבל
10,2,12,12,אכן
0,0,12,12,זה עתה
11,11,13,10,אבל
1,2,5,5,אכן
0,0,12,13,אבל
16,3,2,12,אבל
2,4,1,9,אבל
3,1,5,5,אכן
2,3,12,12,אבל
1,2,11,2,אבל
11,11,12,12,אבל
0,1,5,12,אכן
1,2,2,12,אבל
4,1,3,2,אכן
0,0,2,3,זה עתה
10,10,9,2,זה עתה
1,2,9,5,זה עתה
0,0,2,4,אכן
2,2,12,5,זה עתה
5,17,5,5,אכן
1,12,12,5,אכן
18,12,4,0,אכן
0,0,5,12,אכן
0,0,12,2,אכן
0,0,11,2,אכן
0,0,5,4,אכן
0,1,12,19,אכן
